Admin Status,VPN Access ID,Alive,Site Id,Nickname,Site Name,Region,Product,Bandwidth
271,1306,Up,80225594,13162,NG JOKER DRIFT AS - 7080003502803 Joker Oslo S JERNBANETORGET 1 0154 OSLO 0154 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
272,1307,Up,80225900,113,GEO VARESENTER AS - 7080000003990 MENY Åsgårdstrand GREV WEDELS GATE 46 3179 ÅSGÅRDSTRAND 3179 ÅSGÅRDSTRAND,HORTEN,NC MANAGED VPN ACCESS,100000
273,1308,Up,80224732,664,BEKKJARVIK HANDEL AS - 7080000018055 SPAR Bekkjarvik BEKKJARVIK 70 5397 BEKKJARVIK 5397 BEKKJARVIK,AUSTEVOLL,NC MANAGED VPN ACCESS,100000
274,1309,Up,80224727,152,HELGØ MENY ROGALAND AS - 7080000005055 Helgø MENY Mariero BREIDABLIKKVEIEN 3A 4017 STAVANGER 4017 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
275,1310,Up,80224702,2160,NG KIWI INNLAND AS - 7080000643103 Kiwi 028 Hov SENTRUMSVEGEN 5 2860 HOV 2860 HOV,SØNDRE LAND,NC MANAGED VPN ACCESS,400000
276,1311,Up,80224716,1857,NG MENY VESTFOLD TELEMARK AS - 7080001061890 MENY Holmestrand HVITTINGFOSSVEIEN 123 3085 HOLMESTRAND 3085 HOLMESTRAND,HOLMESTRAND,NC MANAGED VPN ACCESS,100000
277,1313,Up,80225922,83,NG MENY ØST AS - 7080000003273 MENY Oppsal HAAKON TVETERS VEI 90 0686 OSLO 0686 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
278,1314,Up,80225899,9441,OSLOFJORDMAT AS - 7080001255510 Kiwi 483 Bygdøy Allè BYGDØY ALLÉ 23 0262 OSLO 0262 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
279,1315,Up,80225702,4478,NG KIWI INNLAND AS - 7080001088255 Kiwi 053 Mart`nSenteret TORGGATA 3 2408 ELVERUM 2408 ELVERUM,ELVERUM,NC MANAGED VPN ACCESS,100000
280,1316,Up,80225726,1053,NG SPAR INNLAND AS - 7080000031276 EUROSPAR Brumunddal BRUGATA 16 2380 BRUMUNDDAL 2380 BRUMUNDDAL,RINGSAKER,NC MANAGED VPN ACCESS,100000
281,1317,Up,80225725,1387,BRØNNDALEN LAVPRIS AS - 7080000066612 Joker Brønndalen BRØNNDALSÅSEN 1 5176 LODDEFJORD 5176 LODDEFJORD,BERGEN,NC MANAGED VPN ACCESS,100000
282,1318,Up,80225558,2299,NG KIWI AGDER AS - 7080000960590 Kiwi 702 Langenes LANGENESVEIEN 290 4643 SØGNE 4643 SØGNE,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
283,1319,Up,80225719,10040,NG KIWI ROGALAND AS - 7080001267186 Kiwi 610 Kirkegata Haugesu BREIDABLIKGATA 184 5525 HAUGESUND 5525 HAUGESUND,HAUGESUND,NC MANAGED VPN ACCESS,100000
284,1320,Up,80225683,1860,NG KIWI ROGALAND AS - 7080001029746 Kiwi 613 Avaldsnes KONG AUGVALDS VEG 4 4262 AVALDSNES 4262 AVALDSNES,KARMØY,NC MANAGED VPN ACCESS,100000
285,1321,Up,80225550,1515,NG KIWI VEST AS - 7080000891658 Kiwi 807 Fjøsanger FJØSANGERVEIEN 215 5073 BERGEN 5073 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
286,1322,Up,80225579,24,NG SPAR VEST AS - 7080001083427 SPAR Eikeviken HELLEVEIEN 141 5039 BERGEN 5039 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
